chromosome,gene_id,gene_symbol,P-value,Zscore,Direction,regulation,heterogeneity_I_squared,heterogeneity_Chi_squared,heterogeneity_degrees_of_freedom_squared,heterogeneity_P-value
6,ENSG00000164465,DCBLD1,9.37E-06,-4.431,--,Not differentially expressed,0,0.432,1,0.5109
19,ENSG00000125753,VASP,9.39E-06,4.431,++,Not differentially expressed,0,0.563,1,0.4529
10,ENSG00000173269,MMRN2,9.86E-06,4.42,++,Not differentially expressed,0,0.043,1,0.8358
20,ENSG00000125820,NKX2-2,1.01E-05,4.415,++,Not differentially expressed,0,0.017,1,0.8973
5,ENSG00000113504,SLC12A7,1.03E-05,4.411,++,Not differentially expressed,0,0,1,0.9958
1,ENSG00000162909,CAPN2,1.03E-05,4.411,++,Not differentially expressed,0,0.111,1,0.7393
5,ENSG00000174705,SH3PXD2B,1.04E-05,4.41,++,Not differentially expressed,0,0.005,1,0.9457
3,ENSG00000175182,FAM131A,1.06E-05,-4.405,--,Not differentially expressed,0,0,1,0.998
3,ENSG00000154822,PLCL2,1.07E-05,-4.402,--,Not differentially expressed,0,0.003,1,0.9552
6,ENSG00000161896,IP6K3,1.13E-05,4.391,++,Not differentially expressed,80.9,5.244,1,0.02203
1,ENSG00000174059,CD34,1.13E-05,4.39,++,Not differentially expressed,0,0.017,1,0.8956
1,ENSG00000016602,CLCA4,1.13E-05,4.39,++,Not differentially expressed,0,0.324,1,0.569
5,ENSG00000251493,FOXD1,1.14E-05,4.389,++,Not differentially expressed,0,0.327,1,0.5676
16,ENSG00000176046,NUPR1,1.15E-05,4.387,++,Not differentially expressed,0,0.191,1,0.6624
1,ENSG00000117318,ID3,1.16E-05,4.385,++,Not differentially expressed,0,0.13,1,0.7183
X,ENSG00000147113,CXorf36,1.16E-05,4.385,++,Not differentially expressed,0,0.097,1,0.7554
2,ENSG00000163596,ICA1L,1.18E-05,-4.381,--,Not differentially expressed,0,0.008,1,0.9277
20,ENSG00000174306,ZHX3,1.18E-05,4.381,++,Not differentially expressed,0,0.002,1,0.9657
8,ENSG00000104490,NCALD,1.19E-05,-4.38,--,Not differentially expressed,0,0.029,1,0.8653
10,ENSG00000166272,WBP1L,1.20E-05,4.378,++,Not differentially expressed,0,0.212,1,0.6451
18,ENSG00000141433,ADCYAP1,1.20E-05,-4.377,--,Not differentially expressed,38.2,1.617,1,0.2035
6,ENSG00000241216,SNAPC5P1,1.20E-05,-4.377,--,Not differentially expressed,0,0.641,1,0.4234
8,ENSG00000241852,C8orf58,1.25E-05,4.37,++,Not differentially expressed,0,0,1,0.9969
5,ENSG00000251623,AC139491.5,1.27E-05,-4.366,--,Not differentially expressed,55.7,2.257,1,0.133
10,ENSG00000183621,ZNF438,1.27E-05,4.365,++,Not differentially expressed,0,0.018,1,0.8939
16,ENSG00000205336,ADGRG1,1.28E-05,4.364,++,Not differentially expressed,0,0.027,1,0.8696
7,ENSG00000182348,ZNF804B,1.29E-05,-4.362,--,Not differentially expressed,10.8,1.122,1,0.2896
11,ENSG00000166257,SCN3B,1.30E-05,-4.36,--,Not differentially expressed,73.1,3.719,1,0.05379
1,ENSG00000178796,RIIAD1,1.31E-05,-4.359,--,Not differentially expressed,0,0.001,1,0.9787
19,ENSG00000105329,TGFB1,1.31E-05,4.359,++,Not differentially expressed,0,0.257,1,0.6121
13,ENSG00000120690,ELF1,1.31E-05,4.358,++,Not differentially expressed,0,0.226,1,0.6342
6,ENSG00000153721,CNKSR3,1.32E-05,4.356,++,Not differentially expressed,0,0.277,1,0.5988
17,ENSG00000133195,SLC39A11,1.35E-05,4.353,++,Not differentially expressed,74.1,3.863,1,0.04935
22,ENSG00000198792,TMEM184B,1.38E-05,4.347,++,Not differentially expressed,0,0.288,1,0.5912
12,ENSG00000166535,A2ML1,1.38E-05,4.347,++,Not differentially expressed,0,0.991,1,0.3196
12,ENSG00000089169,RPH3A,1.39E-05,-4.346,--,Not differentially expressed,0,0.235,1,0.628
2,ENSG00000188674,C2orf80,1.39E-05,-4.345,--,Not differentially expressed,0,0.073,1,0.7868
2,ENSG00000178752,ERFE,1.44E-05,-4.338,--,Not differentially expressed,0,0.156,1,0.6929
15,ENSG00000173548,SNX33,1.47E-05,4.333,++,Not differentially expressed,0,0,1,0.9904
X,ENSG00000102032,RENBP,1.47E-05,4.333,++,Not differentially expressed,0,0.561,1,0.454
17,ENSG00000183688,RFLNB,1.47E-05,4.333,++,Not differentially expressed,0,0.756,1,0.3845
14,ENSG00000179841,AKAP5,1.48E-05,-4.332,--,Not differentially expressed,0,0.205,1,0.6503
4,ENSG00000170891,CYTL1,1.51E-05,4.328,++,Not differentially expressed,0,0.08,1,0.7775
5,ENSG00000170464,DNAJC18,1.51E-05,-4.327,--,Not differentially expressed,24.7,1.329,1,0.249
1,ENSG00000154222,CC2D1B,1.52E-05,4.326,++,Not differentially expressed,48.1,1.927,1,0.1651
17,ENSG00000108830,RND2,1.58E-05,4.317,++,Not differentially expressed,83.3,6.003,1,0.01428
19,ENSG00000179954,SSC5D,1.60E-05,4.315,++,Not differentially expressed,0,0.006,1,0.9375
12,ENSG00000135414,GDF11,1.62E-05,4.312,++,Not differentially expressed,0,0.163,1,0.6867
10,ENSG00000165626,BEND7,1.64E-05,4.309,++,Not differentially expressed,0,0.082,1,0.7746
11,ENSG00000166016,ABTB2,1.70E-05,4.301,++,Not differentially expressed,37.8,1.609,1,0.2047
6,ENSG00000168994,PXDC1,1.70E-05,4.301,++,Not differentially expressed,0,0.019,1,0.8901
19,ENSG00000104870,FCGRT,1.73E-05,4.298,++,Not differentially expressed,0,0.004,1,0.9488
19,ENSG00000198429,ZNF69,1.78E-05,4.291,++,Not differentially expressed,15.1,1.179,1,0.2777
10,ENSG00000107731,UNC5B,1.80E-05,4.288,++,Not differentially expressed,0,0.028,1,0.8672
11,ENSG00000109832,DDX25,1.83E-05,-4.284,--,Not differentially expressed,0,0.342,1,0.5587
17,ENSG00000108639,SYNGR2,1.85E-05,4.282,++,Not differentially expressed,0,0.011,1,0.9164
9,ENSG00000136830,FAM129B,1.91E-05,4.276,++,Not differentially expressed,0,0.045,1,0.8315
6,ENSG00000170899,GSTA4,1.94E-05,-4.272,--,Not differentially expressed,0,0.119,1,0.7298
2,ENSG00000115325,DOK1,1.94E-05,4.272,++,Not differentially expressed,0,0.057,1,0.8112
1,ENSG00000241563,CORT,1.94E-05,-4.272,--,Not differentially expressed,0,0.138,1,0.7105
6,ENSG00000146469,VIP,1.94E-05,-4.272,--,Not differentially expressed,0,0.025,1,0.8752
20,ENSG00000089123,TASP1,1.95E-05,-4.271,--,Not differentially expressed,0,0.409,1,0.5223
19,ENSG00000064961,HMG20B,1.98E-05,4.268,++,Not differentially expressed,44.8,1.81,1,0.1785
4,ENSG00000109320,NFKB1,1.99E-05,4.266,++,Not differentially expressed,0,0.287,1,0.592
14,ENSG00000185650,ZFP36L1,1.99E-05,4.266,++,Not differentially expressed,0,0.529,1,0.4672
11,ENSG00000166689,PLEKHA7,1.99E-05,4.266,++,Not differentially expressed,0,0.144,1,0.7041
21,ENSG00000183255,PTTG1IP,2.00E-05,4.265,++,Not differentially expressed,0,0.287,1,0.592
16,ENSG00000176387,HSD11B2,2.00E-05,4.265,++,Not differentially expressed,0,0.603,1,0.4376
2,ENSG00000163053,SLC16A14,2.01E-05,-4.264,--,Not differentially expressed,0,0.067,1,0.7953
7,ENSG00000160963,COL26A1,2.01E-05,-4.264,--,Not differentially expressed,21.3,1.271,1,0.2595
19,ENSG00000126259,KIRREL2,2.02E-05,-4.262,--,Not differentially expressed,0,0.695,1,0.4043
5,ENSG00000145632,PLK2,2.07E-05,-4.257,--,Not differentially expressed,0,0.335,1,0.5628
2,ENSG00000144366,GULP1,2.07E-05,-4.257,--,Not differentially expressed,0,0.199,1,0.6553
7,ENSG00000136267,DGKB,2.10E-05,-4.254,--,Not differentially expressed,0,0.118,1,0.7307
16,ENSG00000103089,FA2H,2.13E-05,4.251,++,Not differentially expressed,0,0.252,1,0.6158
17,ENSG00000141524,TMC6,2.15E-05,4.249,++,Not differentially expressed,0,1,1,0.3173
10,ENSG00000165633,VSTM4,2.16E-05,4.248,++,Not differentially expressed,0,0.011,1,0.916
11,ENSG00000223953,C1QTNF5,2.16E-05,4.248,++,Not differentially expressed,61,2.565,1,0.1092
7,ENSG00000006530,AGK,2.22E-05,-4.241,--,Not differentially expressed,0,0.128,1,0.7201
13,ENSG00000150510,FAM124A,2.23E-05,4.241,++,Not differentially expressed,0,0.124,1,0.7246
16,ENSG00000158865,SLC5A11,2.23E-05,4.241,-+,Not differentially expressed,89.2,9.258,1,0.002344
1,ENSG00000117152,RGS4,2.24E-05,-4.239,--,Not differentially expressed,0,0.118,1,0.7308
20,ENSG00000101276,SLC52A3,2.26E-05,4.238,++,Not differentially expressed,0,0.013,1,0.9089
12,ENSG00000165899,OTOGL,2.28E-05,-4.236,--,Not differentially expressed,43.2,1.76,1,0.1847
12,ENSG00000070961,ATP2B1,2.28E-05,-4.236,--,Not differentially expressed,0,0.143,1,0.7052
3,ENSG00000180044,C3orf80,2.28E-05,-4.235,--,Not differentially expressed,0,0.308,1,0.5788
7,ENSG00000133627,ACTR3B,2.29E-05,-4.235,--,Not differentially expressed,0,0.002,1,0.964
18,ENSG00000141622,RNF165,2.34E-05,-4.23,--,Not differentially expressed,5.9,1.062,1,0.3027
15,ENSG00000103653,CSK,2.35E-05,4.229,++,Not differentially expressed,0,0.02,1,0.8884
X,ENSG00000184634,MED12,2.39E-05,4.225,++,Not differentially expressed,0,0.089,1,0.7656
19,ENSG00000090554,FLT3LG,2.40E-05,4.225,++,Not differentially expressed,0,0.185,1,0.6669
10,ENSG00000065809,FAM107B,2.45E-05,4.219,++,Not differentially expressed,80.1,5.013,1,0.02516
15,ENSG00000069966,GNB5,2.49E-05,-4.216,--,Not differentially expressed,0,0.295,1,0.587
7,ENSG00000106333,PCOLCE,2.49E-05,4.216,++,Not differentially expressed,0,0.338,1,0.5608
1,ENSG00000117676,RPS6KA1,2.51E-05,4.214,++,Not differentially expressed,0,0.065,1,0.7989
14,ENSG00000071246,VASH1,2.55E-05,4.21,++,Not differentially expressed,0,0,1,0.9894
3,ENSG00000168309,FAM107A,2.58E-05,4.208,++,Not differentially expressed,0,0.603,1,0.4375
4,ENSG00000164100,NDST3,2.59E-05,-4.207,--,Not differentially expressed,0,0.274,1,0.6003
13,ENSG00000182957,SPATA13,2.59E-05,4.207,++,Not differentially expressed,0,0.039,1,0.8426
2,ENSG00000168874,ATOH8,2.62E-05,4.204,++,Not differentially expressed,0,0.03,1,0.8625
11,ENSG00000173039,RELA,2.62E-05,4.204,++,Not differentially expressed,0,0.006,1,0.9384
17,ENSG00000175906,ARL4D,2.64E-05,-4.203,--,Not differentially expressed,0,0.048,1,0.826
11,ENSG00000134574,DDB2,2.67E-05,4.2,++,Not differentially expressed,0,0.064,1,0.8009
22,ENSG00000128271,ADORA2A,2.72E-05,4.196,++,Not differentially expressed,0,0.846,1,0.3576
11,ENSG00000214530,STARD10,2.73E-05,4.195,++,Not differentially expressed,0,0.037,1,0.8466
19,ENSG00000080573,COL5A3,2.74E-05,4.194,++,Not differentially expressed,48.7,1.95,1,0.1626
6,ENSG00000010810,FYN,2.75E-05,4.193,++,Not differentially expressed,0,0.179,1,0.6725
9,ENSG00000137038,DMAC1,2.77E-05,-4.192,--,Not differentially expressed,0,0.215,1,0.6428
3,ENSG00000068001,HYAL2,2.78E-05,4.191,++,Not differentially expressed,16.8,1.202,1,0.273
7,ENSG00000164889,SLC4A2,2.80E-05,4.189,++,Not differentially expressed,41.4,1.706,1,0.1916
7,ENSG00000130226,DPP6,2.83E-05,-4.187,--,Not differentially expressed,75.9,4.145,1,0.04175
21,ENSG00000160200,CBS,2.83E-05,4.187,++,Not differentially expressed,0,0.116,1,0.7336
10,ENSG00000107719,PALD1,2.86E-05,4.184,++,Not differentially expressed,0,0.015,1,0.9013
5,ENSG00000146005,PSD2,2.89E-05,4.182,++,Not differentially expressed,0,0.001,1,0.9779
6,ENSG00000156639,ZFAND3,2.95E-05,4.177,++,Not differentially expressed,0,0.999,1,0.3175
17,ENSG00000092871,RFFL,2.95E-05,4.177,++,Not differentially expressed,0,0.033,1,0.8552
4,ENSG00000188517,COL25A1,3.09E-05,-4.167,--,Not differentially expressed,0,0.352,1,0.5532
2,ENSG00000115183,TANC1,3.09E-05,4.167,++,Not differentially expressed,0,0.198,1,0.656
9,ENSG00000187984,ANKRD19P,3.16E-05,-4.161,--,Not differentially expressed,76.5,4.254,1,0.03917
1,ENSG00000053372,MRTO4,3.19E-05,-4.16,--,Not differentially expressed,0,0.101,1,0.7508
14,ENSG00000053254,FOXN3,3.23E-05,4.157,++,Not differentially expressed,0,0.077,1,0.7815
1,ENSG00000143321,HDGF,3.23E-05,4.157,++,Not differentially expressed,22.8,1.295,1,0.2551
10,ENSG00000198408,OGA,3.24E-05,-4.156,--,Not differentially expressed,56.9,2.32,1,0.1277
7,ENSG00000106624,AEBP1,3.27E-05,4.154,++,Not differentially expressed,0,0.804,1,0.3698
14,ENSG00000100968,NFATC4,3.29E-05,4.152,++,Not differentially expressed,0,0.809,1,0.3685
14,ENSG00000179627,ZBTB42,3.34E-05,4.149,++,Not differentially expressed,35.9,1.56,1,0.2116
18,ENSG00000176105,YES1,3.37E-05,4.147,++,Not differentially expressed,0,0.106,1,0.7448
9,ENSG00000173611,SCAI,3.46E-05,-4.141,--,Not differentially expressed,0,0.112,1,0.7376
3,ENSG00000134070,IRAK2,3.51E-05,4.138,++,Not differentially expressed,41.7,1.716,1,0.1902
6,ENSG00000155906,RMND1,3.59E-05,-4.132,--,Not differentially expressed,0,0.03,1,0.8636
9,ENSG00000165185,KIAA1958,3.61E-05,4.131,++,Not differentially expressed,0,0.124,1,0.7248
2,ENSG00000178295,GEN1,3.61E-05,-4.131,--,Not differentially expressed,0,0.007,1,0.9357
20,ENSG00000101367,MAPRE1,3.62E-05,4.13,++,Not differentially expressed,0,0,1,0.9993
16,ENSG00000103021,CCDC113,3.63E-05,-4.13,--,Not differentially expressed,53.1,2.13,1,0.1444
15,ENSG00000180229,HERC2P3,3.66E-05,4.128,++,Not differentially expressed,0,0.012,1,0.912
19,ENSG00000104859,CLASRP,3.68E-05,4.127,++,Not differentially expressed,0,0.026,1,0.8728
5,ENSG00000145882,PCYOX1L,3.68E-05,-4.126,--,Not differentially expressed,0,0.16,1,0.6896
4,ENSG00000174607,UGT8,3.69E-05,4.126,++,Not differentially expressed,0,0.035,1,0.8508
20,ENSG00000118707,TGIF2,3.71E-05,4.125,++,Not differentially expressed,0,0.015,1,0.9013
6,ENSG00000111863,ADTRP,3.74E-05,-4.123,--,Not differentially expressed,0,0.962,1,0.3267
3,ENSG00000070476,ZXDC,3.78E-05,4.12,++,Not differentially expressed,0,0.437,1,0.5086
9,ENSG00000197724,PHF2,3.78E-05,4.12,++,Not differentially expressed,0,0.096,1,0.7568
11,ENSG00000149782,PLCB3,3.83E-05,4.118,++,Not differentially expressed,0,0.437,1,0.5083
5,ENSG00000152495,CAMK4,3.84E-05,-4.117,--,Not differentially expressed,0,0.006,1,0.9399
12,ENSG00000120820,GLT8D2,3.84E-05,-4.117,--,Not differentially expressed,0,0.217,1,0.6416
1,ENSG00000142765,SYTL1,3.90E-05,4.114,++,Not differentially expressed,0,0.307,1,0.5794
2,ENSG00000138378,STAT4,3.91E-05,-4.113,--,Not differentially expressed,0,0.308,1,0.5791
14,ENSG00000188488,SERPINA5,3.93E-05,4.112,++,Not differentially expressed,0,0.998,1,0.3179
2,ENSG00000130147,SH3BP4,3.94E-05,4.111,++,Not differentially expressed,0,0.021,1,0.8841
6,ENSG00000048544,MRPS10,3.94E-05,-4.111,--,Not differentially expressed,0,0.059,1,0.8076
9,ENSG00000120162,MOB3B,3.97E-05,4.109,++,Not differentially expressed,0,0.513,1,0.4738
9,ENSG00000070214,SLC44A1,3.98E-05,4.109,++,Not differentially expressed,66.5,2.988,1,0.0839
14,ENSG00000100802,C14orf93,3.99E-05,4.108,++,Not differentially expressed,0,0.027,1,0.8702
9,ENSG00000164978,NUDT2,4.00E-05,-4.108,--,Not differentially expressed,0,0.014,1,0.9057
9,ENSG00000136938,ANP32B,4.01E-05,4.107,++,Not differentially expressed,0,0.225,1,0.6353
5,ENSG00000120729,MYOT,4.04E-05,4.105,++,Not differentially expressed,85.3,6.787,1,0.00918
10,ENSG00000170370,EMX2,4.05E-05,4.105,++,Not differentially expressed,0,0.021,1,0.886
2,ENSG00000153165,RGPD3,4.06E-05,-4.104,--,Not differentially expressed,0,0.012,1,0.911
4,ENSG00000172493,AFF1,4.07E-05,4.104,++,Not differentially expressed,0,0.47,1,0.493
22,ENSG00000177096,PHETA2,4.08E-05,4.103,++,Not differentially expressed,84.4,6.404,1,0.01139
12,ENSG00000122986,HVCN1,4.13E-05,4.1,++,Not differentially expressed,0,0.706,1,0.4006
7,ENSG00000198286,CARD11,4.16E-05,4.098,++,Not differentially expressed,0,0.635,1,0.4256
X,ENSG00000184216,IRAK1,4.17E-05,4.098,++,Not differentially expressed,0,0.775,1,0.3786
10,ENSG00000119950,MXI1,4.20E-05,4.096,++,Not differentially expressed,78.8,4.712,1,0.02995
6,ENSG00000118515,SGK1,4.21E-05,4.096,++,Not differentially expressed,61.5,2.599,1,0.1069
4,ENSG00000159674,SPON2,4.24E-05,-4.094,--,Not differentially expressed,0,0.009,1,0.9235
17,ENSG00000154975,CA10,4.26E-05,-4.093,--,Not differentially expressed,0,0.053,1,0.8177
10,ENSG00000134453,RBM17,4.28E-05,4.092,++,Not differentially expressed,0,0.007,1,0.9353
20,ENSG00000125772,GPCPD1,4.35E-05,-4.088,--,Not differentially expressed,0,0.607,1,0.4359
8,ENSG00000154188,ANGPT1,4.36E-05,4.087,++,Not differentially expressed,0,0.104,1,0.7466
10,ENSG00000148606,POLR3A,4.40E-05,-4.086,--,Not differentially expressed,0,0.666,1,0.4143
X,ENSG00000072501,SMC1A,4.40E-05,4.085,++,Not differentially expressed,0,0.443,1,0.5056
1,ENSG00000184144,CNTN2,4.42E-05,4.084,++,Not differentially expressed,0,0.058,1,0.8098
4,ENSG00000156140,ADAMTS3,4.46E-05,-4.082,--,Not differentially expressed,0,0.045,1,0.8322
2,ENSG00000144320,LNPK,4.51E-05,-4.08,--,Not differentially expressed,0,0.007,1,0.9312
17,ENSG00000141540,TTYH2,4.51E-05,4.08,++,Not differentially expressed,0,0.634,1,0.4258
3,ENSG00000016391,CHDH,4.52E-05,4.079,++,Not differentially expressed,0,0.009,1,0.9238
1,ENSG00000271601,LIX1L,4.54E-05,4.078,++,Not differentially expressed,0,0.201,1,0.6536
X,ENSG00000086717,PPEF1,4.54E-05,-4.078,--,Not differentially expressed,35.2,1.543,1,0.2142
1,ENSG00000143061,IGSF3,4.55E-05,-4.078,--,Not differentially expressed,44.1,1.788,1,0.1812
13,ENSG00000139514,SLC7A1,4.69E-05,4.071,++,Not differentially expressed,0,0.444,1,0.5053
16,ENSG00000131650,KREMEN2,4.69E-05,-4.07,--,Not differentially expressed,26.6,1.363,1,0.243
1,ENSG00000134253,TRIM45,4.70E-05,-4.07,--,Not differentially expressed,0,0.273,1,0.6015
1,ENSG00000143418,CERS2,4.73E-05,4.068,++,Not differentially expressed,0,0.146,1,0.7026
14,ENSG00000186369,LINC00643,4.74E-05,-4.068,--,Not differentially expressed,0,0.175,1,0.6753
9,ENSG00000186350,RXRA,4.81E-05,4.065,++,Not differentially expressed,0,0.06,1,0.8067
1,ENSG00000135824,RGS8,4.92E-05,-4.059,--,Not differentially expressed,0,0.049,1,0.8255
17,ENSG00000213977,TAX1BP3,4.93E-05,4.059,++,Not differentially expressed,0,0.337,1,0.5618
15,ENSG00000103657,HERC1,4.94E-05,-4.059,--,Not differentially expressed,0,0.027,1,0.8688
7,ENSG00000164742,ADCY1,4.98E-05,-4.057,--,Not differentially expressed,75.8,4.136,1,0.04199
3,ENSG00000163884,KLF15,5.00E-05,4.056,++,Not differentially expressed,0,0.021,1,0.8841
15,ENSG00000258461,AC012651.1,5.03E-05,4.054,++,Not differentially expressed,0,0.146,1,0.702
6,ENSG00000285976,AL135905.2,5.04E-05,-4.054,--,Not differentially expressed,0,0.236,1,0.627
9,ENSG00000119139,TJP2,5.06E-05,4.053,++,Not differentially expressed,0,0.087,1,0.7678
1,ENSG00000116983,HPCAL4,5.09E-05,-4.051,--,Not differentially expressed,0,0.615,1,0.433
14,ENSG00000119630,PGF,5.11E-05,4.05,++,Not differentially expressed,0,0.211,1,0.6462
11,ENSG00000149575,SCN2B,5.12E-05,-4.05,--,Not differentially expressed,64.7,2.833,1,0.09232
11,ENSG00000185742,C11orf87,5.22E-05,-4.046,--,Not differentially expressed,0,0.068,1,0.7949
5,ENSG00000170091,NSG2,5.31E-05,-4.042,--,Not differentially expressed,0,0.023,1,0.8807
17,ENSG00000132522,GPS2,5.31E-05,4.042,++,Not differentially expressed,0,0.064,1,0.8002
17,ENSG00000109016,DHRS7B,5.33E-05,-4.041,--,Not differentially expressed,0,0.002,1,0.9654
7,ENSG00000164692,COL1A2,5.36E-05,4.039,++,Not differentially expressed,0,0.654,1,0.4185
3,ENSG00000168268,NT5DC2,5.41E-05,4.037,++,Not differentially expressed,0,0.065,1,0.7991
16,ENSG00000167978,SRRM2,5.48E-05,4.034,++,Not differentially expressed,0,0.006,1,0.9359
8,ENSG00000173530,TNFRSF10D,5.48E-05,4.034,++,Not differentially expressed,0,0.027,1,0.8696
11,ENSG00000066382,MPPED2,5.58E-05,-4.03,--,Not differentially expressed,0,0.344,1,0.5573
19,ENSG00000072954,TMEM38A,5.58E-05,-4.03,--,Not differentially expressed,0,0.061,1,0.8056
12,ENSG00000125084,WNT1,5.59E-05,-4.03,--,Not differentially expressed,0,0.737,1,0.3906
2,ENSG00000136732,GYPC,5.61E-05,4.029,++,Not differentially expressed,0,0.615,1,0.433
18,ENSG00000197705,KLHL14,5.69E-05,-4.025,--,Not differentially expressed,0,0.278,1,0.5981
20,ENSG00000019186,CYP24A1,5.71E-05,-4.025,--,Not differentially expressed,0,0.359,1,0.5489
7,ENSG00000127946,HIP1,5.75E-05,4.023,++,Not differentially expressed,0,0.058,1,0.809
15,ENSG00000140395,WDR61,5.78E-05,-4.022,--,Not differentially expressed,0,0.021,1,0.8845
11,ENSG00000110148,CCKBR,5.79E-05,-4.021,--,Not differentially expressed,66.5,2.985,1,0.08405
16,ENSG00000187535,IFT140,5.84E-05,4.019,++,Not differentially expressed,0,0.003,1,0.9529
7,ENSG00000003147,ICA1,5.94E-05,-4.015,--,Not differentially expressed,39.2,1.645,1,0.1996
1,ENSG00000082512,TRAF5,5.98E-05,-4.014,--,Not differentially expressed,40.5,1.681,1,0.1948
10,ENSG00000122873,CISD1,5.98E-05,-4.014,--,Not differentially expressed,0,0.005,1,0.9425
5,ENSG00000183580,FBXL7,6.04E-05,4.011,++,Not differentially expressed,0,0,1,0.9923
5,ENSG00000164402,8-Sep,6.04E-05,4.011,++,Not differentially expressed,0,0.252,1,0.6154
20,ENSG00000100979,PLTP,6.07E-05,4.01,++,Not differentially expressed,0,0.006,1,0.9386
1,ENSG00000189410,SH2D5,6.19E-05,-4.006,--,Not differentially expressed,0,0.473,1,0.4914
3,ENSG00000226435,ANKRD18DP,6.23E-05,-4.004,--,Not differentially expressed,0,0.189,1,0.6641
1,ENSG00000143412,ANXA9,6.23E-05,4.004,++,Not differentially expressed,43.9,1.782,1,0.1819
3,ENSG00000172037,LAMB2,6.25E-05,4.003,++,Not differentially expressed,0,0.139,1,0.7097
15,ENSG00000184254,ALDH1A3,6.34E-05,-4,--,Not differentially expressed,0,0.154,1,0.695
3,ENSG00000160145,KALRN,6.36E-05,-3.999,--,Not differentially expressed,0,0.003,1,0.9588
17,ENSG00000126561,STAT5A,6.37E-05,3.999,++,Not differentially expressed,0,0.789,1,0.3745
8,ENSG00000070718,AP3M2,6.39E-05,-3.998,--,Not differentially expressed,0,0.051,1,0.8215
1,ENSG00000143842,SOX13,6.44E-05,3.996,++,Not differentially expressed,0,0.003,1,0.9546
6,ENSG00000112242,E2F3,6.45E-05,-3.996,--,Not differentially expressed,0,0.04,1,0.8418
X,ENSG00000126016,AMOT,6.47E-05,3.995,++,Not differentially expressed,0,0.302,1,0.5826
19,ENSG00000087076,HSD17B14,6.47E-05,3.995,++,Not differentially expressed,33.3,1.499,1,0.2208
X,ENSG00000102221,JADE3,6.53E-05,3.993,++,Not differentially expressed,60.5,2.533,1,0.1115
2,ENSG00000144136,SLC20A1,6.54E-05,-3.993,--,Not differentially expressed,0,0.043,1,0.8354
14,ENSG00000119655,NPC2,6.55E-05,3.992,++,Not differentially expressed,0,0.341,1,0.5593
9,ENSG00000180447,GAS1,6.60E-05,3.99,++,Not differentially expressed,0,0.026,1,0.8717
2,ENSG00000130414,NDUFA10,6.65E-05,-3.988,--,Not differentially expressed,0,0.044,1,0.8333
5,ENSG00000169271,HSPB3,6.67E-05,-3.988,--,Not differentially expressed,0,0.175,1,0.6755
1,ENSG00000198830,HMGN2,6.71E-05,-3.987,--,Not differentially expressed,84,6.269,1,0.01229
17,ENSG00000168961,LGALS9,6.75E-05,3.985,++,Not differentially expressed,0,0.655,1,0.4183
12,ENSG00000111266,DUSP16,6.76E-05,3.985,++,Not differentially expressed,0,0.947,1,0.3306
11,ENSG00000152578,GRIA4,6.77E-05,-3.984,--,Not differentially expressed,0,0.123,1,0.7261
8,ENSG00000104327,CALB1,6.93E-05,-3.979,--,Not differentially expressed,0,0.694,1,0.4049
14,ENSG00000070778,PTPN21,6.93E-05,3.979,++,Not differentially expressed,0,0.065,1,0.7983
20,ENSG00000125531,FNDC11,6.95E-05,3.978,0+,Not differentially expressed,84.8,6.584,1,0.01029
17,ENSG00000129657,SEC14L1,6.98E-05,3.977,++,Not differentially expressed,0,0.002,1,0.9681
19,ENSG00000223802,CERS1,7.09E-05,3.973,++,Not differentially expressed,0,0.011,1,0.917
12,ENSG00000175970,UNC119B,7.10E-05,3.973,++,Not differentially expressed,0,0.044,1,0.8338
16,ENSG00000125144,MT1G,7.14E-05,3.972,++,Not differentially expressed,0,0.795,1,0.3725
2,ENSG00000196460,RFX8,7.15E-05,-3.971,--,Not differentially expressed,40.8,1.688,1,0.1938
6,ENSG00000096060,FKBP5,7.18E-05,3.97,++,Not differentially expressed,0,0.065,1,0.7988
8,ENSG00000104723,TUSC3,7.28E-05,-3.967,--,Not differentially expressed,0,0.005,1,0.9435
3,ENSG00000172888,ZNF621,7.33E-05,3.965,++,Not differentially expressed,0,0.004,1,0.9506
20,ENSG00000171873,ADRA1D,7.36E-05,-3.964,--,Not differentially expressed,0,0.976,1,0.3231
